,x
866,FAM83D
867,ALOX15
868,SHMT1
869,SLC1A5
870,DLGAP5
871,DUT
872,WEE1
873,MIS12
874,POLD3
875,NCAPG
876,HBG2
877,AUTS2
878,RFC5
879,STMN1
880,H1-1
881,TCEA3
882,NCAPH2
883,KLHDC7B
884,PITX1
885,ACTR6
886,SIVA1
887,CD320
888,PTPN21
889,MGME1
890,ATAD2
891,VWA5B2
892,BUB1B
893,ELAPOR1
894,SLC27A2
895,SPC24
896,PSAT1
897,ASRGL1
898,CCNB1
899,TIPIN
900,CDC20
901,RFC2
902,MUC4
903,NASP
904,RFC3
905,SASS6
906,DSCC1
907,AURKB
908,CENPX
909,TONSL
910,RFC4
911,UNG
912,UBE2S
913,KIF4A
914,PRIM1
915,SKA3
916,PRIM2
917,ARID3B
918,FEN1
919,BIRC5
920,DHCR24
921,RMI2
922,HAUS7
923,PRC1
924,SPIN4
925,CDCA5
926,KIF4B
927,WFDC2
928,DHFR
929,TRIP13
930,PTPRF
931,CKS1B
932,CLDN3
933,MSH6
934,ASF1B
935,KPNA2
936,RRM1
937,TPX2
938,YBX2
939,CDCA8
940,TFAP2B
941,ZWINT
942,UBE2C
943,EHF
944,AQP5
945,ZWILCH
946,NCAPD2
947,CHAF1B
948,GMNN
949,PCNA
950,RACGAP1
951,CHTF18
952,DDX12P
953,SEPTIN3
954,RARRES1
955,TOP2A
956,CDK1
957,HAT1
958,POLA2
959,WRAP73
960,KIF22
961,CHTF8
962,WDR76
963,TK1
964,CKS2
965,LIG1
966,HELLS
967,KIFC1
968,CDCA3
969,GINS4
970,KIF2C
971,NCAPH
972,GINS2
973,MCM3
974,UBE2T
975,MCM5
976,MCM6
977,MCM4
978,GINS1
979,PCLAF
980,MCM7
981,PBK
982,MCM2
983,GINS3
984,UHRF1
985,CCNA2
986,CDKN2A
987,TYMS
988,CENPS
989,TIMELESS
